종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,현재가,PER,PBR,EPS,BPS,등락률
006570,대림통상,KOSPI,344,-6,-12,-34.2,309,15225,12.0,2040.0,-1.84,0.81,-1111.0,2512.0,0.0
006650,대한유화,KOSPI,8471,736,835,4.52,6259,6500,12.0,97900.0,20.07,0.33,4878.0,297102.0,-1.81
006660,삼성공조,KOSPI,267,16,38,3.15,1064,8126,12.0,12950.0,14.77,0.36,877.0,35993.0,4.02
006740,블루산업개발,KOSPI,245,-5,-17,-23.44,207,23739,12.0,986.0,-0.94,0.27,-1046.0,3614.0,1.34
006800,미래에셋증권,KOSPI,144287,13750,13576,0.0,208438,559566,12.0,36650.0,17.01,1.61,2154.0,22705.0,-0.68
006805,미래에셋증권우,KOSPI,0,0,0,0.0,1819,14075,12.0,13100.0,0.0,0.0,0.0,0.0,-1.13
00680K,미래에셋증권2우B,KOSPI,0,0,0,0.0,16188,136500,12.0,12000.0,0.0,0.0,0.0,0.0,-1.72
006840,AK홀딩스,KOSPI,9377,672,-41,-2.87,801,13247,12.0,6350.0,-0.7,0.2,-9008.0,31492.0,-1.24
006880,신송홀딩스,KOSPI,456,27,34,5.1,558,11828,12.0,4720.0,15.32,0.47,308.0,9983.0,-1.77
006890,태경케미컬,KOSPI,140,-7,20,4.92,626,11600,12.0,5660.0,7.51,0.38,754.0,14876.0,1.8
006980,우성,KOSPI,1486,12,-37,4.32,488,3090,12.0,16240.0,3.88,0.2,4186.0,82793.0,-1.75
007070,GS리테일,KOSPI,28549,583,592,2.48,21528,83607,12.0,25650.0,49.42,0.65,519.0,39303.0,-0.39
007110,일신석재,KOSPI,787,38,22,2.45,618,77456,12.0,789.0,43.83,1.03,18.0,767.0,-2.35
007120,미래아이앤지,KOSPI,117,20,-61,-14.73,306,27323,12.0,1115.0,-3.93,0.59,-284.0,1893.0,-1.33
007160,사조산업,KOSPI,1433,47,-39,-8.18,2295,5000,12.0,47350.0,-8.14,0.44,-5820.0,106906.0,0.74
007210,벽산,KOSPI,1392,47,21,8.91,977,65360,12.0,1455.0,4.28,0.27,340.0,5403.0,1.32
007280,한국특강,KOSPI,7688,106,-20,-1.3,542,28646,12.0,1898.0,-39.54,0.52,-48.0,3657.0,-1.15
007310,오뚜기,KOSPI,9552,594,493,3.47,12263,4007,12.0,319000.0,18.47,0.53,17271.0,603102.0,0.0
007340,DN오토모티브,KOSPI,10177,1446,1421,14.85,21356,58510,12.0,37200.0,7.74,0.96,4809.0,38780.0,-4.37
007460,에이프로젠,KOSPI,363,-206,-283,-50.63,513,23594,12.0,2285.0,-0.69,0.02,-3309.0,132487.0,0.88
007540,샘표,KOSPI,1035,66,95,6.33,1207,2875,12.0,43700.0,12.9,0.41,3388.0,107294.0,1.04
007570,일양약품,KOSPI,651,-74,179,8.19,1500,19085,12.0,8470.0,23.93,0.65,354.0,12934.0,3.67
007575,일양약품우,KOSPI,0,0,0,0.0,31,445,12.0,7300.0,0.0,0.0,0.0,0.0,0.27
007590,동방아그로,KOSPI,1044,172,168,4.03,762,13617,12.0,5580.0,7.79,0.41,716.0,13754.0,0.18
007610,선도전기,KOSPI,51,-5,-9,23.73,788,18000,12.0,4115.0,14.0,1.95,294.0,2105.0,-4.3
007660,이수페타시스,KOSPI,3403,672,645,29.95,65040,73409,12.0,84200.0,37.31,8.18,2257.0,10292.0,-3.22
007690,국도화학,KOSPI,4139,103,36,2.07,3597,9260,12.0,38800.0,16.48,0.39,2354.0,100377.0,-0.39
007700,F&F홀딩스,KOSPI,5609,1457,2354,7.17,5401,39114,12.0,14000.0,4.36,0.24,3214.0,59179.0,0.5
007810,코리아써키트,KOSPI,4199,264,370,16.92,15828,23982,12.0,55800.0,32.33,3.47,1726.0,16070.0,-2.28
007815,코리아써우,KOSPI,0,0,0,0.0,487,2964,12.0,15360.0,0.0,0.0,0.0,0.0,0.2
00781K,코리아써키트2우B,KOSPI,0,0,0,0.0,109,783,12.0,12250.0,0.0,0.0,0.0,0.0,-0.97
007860,서연,KOSPI,12839,525,766,8.19,1714,23479,12.0,7530.0,3.16,0.19,2380.0,40447.0,0.4
007980,TP,KOSPI,2489,147,148,15.52,785,46897,12.0,1698.0,2.27,0.28,747.0,6168.0,0.47
008040,사조동아원,KOSPI,6781,500,341,9.45,1112,141144,12.0,788.0,4.58,0.41,172.0,1919.0,-0.88
008060,대덕,KOSPI,4426,533,669,3.54,4558,31287,12.0,14000.0,138.61,0.79,101.0,17702.0,-0.43
00806K,대덕1우,KOSPI,0,0,0,0.0,130,1212,12.0,10660.0,0.0,0.0,0.0,0.0,-0.84
008250,이건산업,KOSPI,651,11,1,-6.9,317,10952,12.0,2785.0,-2.15,0.16,-1295.0,17234.0,-0.89
008260,NI스틸,KOSPI,2753,371,331,10.53,870,28600,12.0,3165.0,3.52,0.35,899.0,8950.0,1.61
008350,남선알미늄,KOSPI,631,-17,-15,-1.36,1379,129079,12.0,1053.0,37.61,0.48,28.0,2196.0,-2.95
008355,남선알미우,KOSPI,0,0,0,0.0,21,307,12.0,7100.0,0.0,0.0,0.0,0.0,-4.05
008420,문배철강,KOSPI,1402,-21,59,3.58,419,20503,12.0,2095.0,6.49,0.23,323.0,9280.0,-2.1
008490,서흥,KOSPI,2016,212,199,10.29,2429,11569,12.0,20500.0,5.45,0.47,3759.0,43883.0,-1.2
008600,윌비스,KOSPI,448,-33,-67,-61.64,176,6723,12.0,2620.0,-0.48,0.28,-5410.0,9516.0,0.0
008700,아남전자,KOSPI,286,-44,-46,-0.54,805,77124,12.0,1211.0,15.93,0.7,76.0,1735.0,10.09
008730,율촌화학,KOSPI,1272,6,19,-1.02,3181,24800,12.0,13700.0,81.55,1.16,168.0,11783.0,0.22
008770,호텔신라,KOSPI,10535,204,120,-13.43,17936,39248,12.0,47550.0,-11.0,1.63,-4321.0,29223.0,0.96
008775,호텔신라우,KOSPI,0,0,0,0.0,222,751,12.0,29600.0,0.0,0.0,0.0,0.0,-0.67
008870,금비,KOSPI,1165,5,16,1.26,393,1000,9.0,39450.0,18.28,0.41,2158.0,96925.0,-1.0
008930,한미사이언스,KOSPI,3756,336,453,14.71,22569,68391,12.0,35250.0,20.36,2.48,1731.0,14205.0,1.88
008970,KBI동양철관,KOSPI,670,42,17,-0.15,1110,103766,12.0,1097.0,-31.34,0.8,-35.0,1363.0,-0.54
